country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_depth_mean,has_seismic_activity,eq_frequency_score,seismic_energy_proxy,mag_depth_ratio,depth_category,lat_abs,neighbor_eq_count
United States of America,USA,North America,69.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.03929713399565099
United States of America,USA,North America,70.5,-157.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,70.5,0.0019118869797275515
United States of America,USA,North America,57.5,-156.5,3.2,Low,4,4.725,60.125,1,1.6094379124341003,12232071.1904993,0.07730061349693251,1,57.5,1.2207530286372348
United States of America,USA,North America,58.5,-156.5,3.2,Low,3,5.1333,138.8333,1,1.3862943611198906,50112953.56360523,0.036710139859389715,2,58.5,1.141930472050354
United States of America,USA,North America,59.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,59.5,0.6685456960376458
United States of America,USA,North America,60.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,60.5,0.21428529813736297
United States of America,USA,North America,61.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,61.5,0.054323993602783414
United States of America,USA,North America,62.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.018609448659654637
United States of America,USA,North America,63.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,0.024351256633877088
United States of America,USA,North America,64.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,64.5,0.19450497056978733
United States of America,USA,North America,65.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.6565808346143969
United States of America,USA,North America,66.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.9450361389639025
United States of America,USA,North America,67.5,-156.5,3.2,Low,1,5.0,10.5,1,0.6931471805599453,31622776.60168379,0.43478260869565216,1,67.5,0.7238725837923211
United States of America,USA,North America,68.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.26687216592557206
United States of America,USA,North America,69.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.03975505542079258
United States of America,USA,North America,70.5,-156.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,70.5,0.002490580348634044
United States of America,USA,North America,19.5,-155.5,3.2,Low,43,4.8533,16.9275,1,3.784189633918261,19052413.56318735,0.2707181704085902,1,19.5,2.0597110882539154
United States of America,USA,North America,58.5,-155.5,3.2,Low,4,4.8,102.775,1,1.6094379124341003,15848931.924611108,0.04625391471934473,2,58.5,1.4824126213948832
United States of America,USA,North America,59.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,59.5,1.0426908805470183
United States of America,USA,North America,60.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,60.5,0.5358674718999407
United States of America,USA,North America,61.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,61.5,0.2016327073103846
United States of America,USA,North America,62.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.060271719421733636
United States of America,USA,North America,63.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,0.0528026464316168
United States of America,USA,North America,64.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,64.5,0.13959002398929446
United States of America,USA,North America,65.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.31332108275384357
United States of America,USA,North America,66.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.4225600835141454
United States of America,USA,North America,67.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.3421690840431779
United States of America,USA,North America,68.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.1504690315651872
United States of America,USA,North America,69.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.029330322572893166
United States of America,USA,North America,70.5,-155.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,70.5,0.002250618378278395
United States of America,USA,North America,57.5,-154.5,3.2,Low,20,4.9,42.625,1,3.044522437723423,22387211.385683425,0.11232091690544413,1,57.5,1.730422582627637
United States of America,USA,North America,58.5,-154.5,3.2,Low,7,5.0429,107.9714,1,2.0794415416798357,36673300.74711208,0.04627728009367596,2,58.5,1.6680879025808808
United States of America,USA,North America,59.5,-154.5,3.2,Low,4,4.75,75.3,1,1.6094379124341003,13335214.32163324,0.062254259501965926,2,59.5,1.3448537157725617
United States of America,USA,North America,60.5,-154.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,60.5,1.083499163275481
United States of America,USA,North America,61.5,-154.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,61.5,0.713581734339702
United States of America,USA,North America,62.5,-154.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.33376989109495553
United States of America,USA,North America,63.5,-154.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,0.23082350187040748
United States of America,USA,North America,64.5,-154.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,64.5,0.305520321997791
United States of America,USA,North America,65.5,-154.5,3.2,Low,1,5.6,10.0,1,0.6931471805599453,251188643.1509572,0.509090909090909,1,65.5,0.37046593636517877
