country,iso3,inform_risk_score,risk_label,lat_grid,lon_grid,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
Philippines,PHL,5.2,Medium,12.0,122.0,107,4.78411214953271,6.1,27.867317757009346
Poland,POL,2.5,Low,50.0,18.0,2,4.65,4.8,7.5
Portugal,PRT,1.9,Low,40.0,-8.0,1,4.5,4.5,6.2
Qatar,QAT,1.2,Low,26.0,52.0,83,4.780722891566265,5.8,17.05696385542169
Romania,ROU,2.9,Low,44.0,26.0,57,4.792982456140351,5.9,117.44019298245613
Rwanda,RWA,4.3,Medium,-2.0,30.0,1,5.9,5.9,40.0
Saudi Arabia,SAU,2.3,Low,28.0,46.0,2,4.65,4.7,10.0
Senegal,SEN,4.2,Medium,10.0,-14.0,1,5.0,5.0,10.0
Serbia,SRB,3.3,Low,44.0,20.0,3,4.666666666666667,4.8,10.0
Sierra Leone,SLE,4.5,Medium,10.0,-12.0,1,4.6,4.6,13.66
Slovakia,SVK,2.8,Low,48.0,20.0,1,5.0,5.0,6.462
Slovenia,SVN,2.5,Low,46.0,14.0,1,4.7,4.7,10.0
Somalia,SOM,8.2,High,10.0,46.0,8,4.8125,5.4,12.64
South Africa,ZAF,4.2,Medium,-30.0,24.0,1,4.7,4.7,5.0
South Sudan,SSD,8.3,High,4.0,32.0,4,4.625,4.8,10.0
Spain,ESP,2.6,Low,42.0,-2.0,7,4.714285714285714,4.8,4.428571428571429
Sri Lanka,LKA,3.3,Low,10.0,80.0,1,5.2,5.2,10.0
Suriname,SUR,3.1,Low,4.0,-52.0,1,5.0,5.0,10.0
Sweden,SWE,1.9,Low,60.0,14.0,1,4.6,4.6,15.84
Switzerland,CHE,1.8,Low,46.0,8.0,1,4.5,4.5,2.9
Syria,SYR,7.5,High,34.0,38.0,1,4.6,4.6,10.0
Tajikistan,TJK,4.0,Medium,38.0,72.0,277,4.790252707581228,7.2,46.59137184115523
Tanzania,TZA,4.8,Medium,-6.0,34.0,57,4.677192982456141,5.5,10.777333333333333
Thailand,THA,4.2,Medium,16.0,100.0,1,4.5,4.5,10.0
Timor-Leste,TLS,3.7,Medium,-8.0,126.0,298,4.754697986577182,7.3,219.62284899328859
Togo,TGO,5.3,Medium,6.0,4.0,1,4.5,4.5,10.0
Trinidad and Tobago,TTO,3.0,Low,10.0,-62.0,38,4.9526315789473685,6.1,42.509473684210526
Tunisia,TUN,3.2,Low,34.0,8.0,6,4.883333333333333,5.2,17.599999999999998
Türkiye,TUR,5.2,Medium,38.0,36.0,49,4.812244897959184,7.5,9.931285714285714
Turkmenistan,TKM,2.8,Low,40.0,62.0,11,4.672727272727273,4.9,13.75090909090909
Uganda,UGA,5.3,Medium,0.0,32.0,1,4.5,4.5,10.0
Ukraine,UKR,5.6,Medium,48.0,32.0,1,4.5,4.5,14.9
United Arab Emirates,ARE,2.0,Low,24.0,56.0,4,4.8,5.0,21.950000000000003
United Kingdom,GBR,2.1,Low,52.0,-4.0,1,4.8,4.8,9.4
United States of America,USA,3.2,Low,38.0,-98.0,1,4.5,4.5,5.0
Uzbekistan,UZB,3.2,Low,40.0,64.0,2,4.800000000000001,4.9,12.45
Venezuela,VEN,5.7,Medium,6.0,-66.0,1,4.5,4.5,13.2
Viet Nam,VNM,3.8,Medium,14.0,108.0,5,4.64,4.8,9.995000000000001
Yemen,YEM,8.0,High,14.0,50.0,16,4.9875,6.0,10.0
Zambia,ZMB,4.6,Medium,-12.0,28.0,3,4.8,5.3,10.0
Zimbabwe,ZWE,4.8,Medium,-20.0,30.0,1,4.5,4.5,10.0
