country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
United States of America,USA,North America,68.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,70.5,-156.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,19.5,-155.5,3.2,Low,43,4.8533,6.7,16.9275
United States of America,USA,North America,58.5,-155.5,3.2,Low,4,4.8,5.2,102.775
United States of America,USA,North America,59.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,60.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,64.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,70.5,-155.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,57.5,-154.5,3.2,Low,20,4.9,6.5,42.625
United States of America,USA,North America,58.5,-154.5,3.2,Low,7,5.0429,6.6,107.9714
United States of America,USA,North America,59.5,-154.5,3.2,Low,4,4.75,5.2,75.3
United States of America,USA,North America,60.5,-154.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-154.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-154.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-154.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,64.5,-154.5,3.2,Low,0,0.0,0.0,0.0
